fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,py
PL03,51.621244,-115.608378,253.613067626953,,,,,,,,,21,
PL03,51.621244,-115.608378,251.211059570313,,,,,,,,,21,
PL03,51.621244,-115.608378,248.522613525391,,,,,,,,,21,
PL03,51.621244,-115.608378,242.517593383789,,,,,,,,,21,
PL03,51.621244,-115.608378,237.010055541992,,,,,,,,,21,
PL03,51.621244,-115.608378,232.206024169922,,,,,,,,,21,
PL03,51.621244,-115.608378,229.20100402832,,,,,,,,,21,
PL10,51.621244,-115.608378,229.0,,,,,,,,,28,
PL10,51.621244,-115.608378,229.301513671875,,,,,,,,,28,
PL10,51.621244,-115.608378,230.502517700195,,,,,,,,,28,
PL10,51.621244,-115.608378,231.703521728516,,,,,,,,,28,
PL10,51.621244,-115.608378,232.904525756836,,,,,,,,,28,
PL10,51.621244,-115.608378,233.0,,,,,,,,,28,
PL10,51.621244,-115.608378,232.693466186523,,,,,,,,,28,
PL10,51.621244,-115.608378,231.492462158203,,,,,,,,,28,
PL10,51.621244,-115.608378,230.291458129883,,,,,,,,,28,
PL10,51.621244,-115.608378,230.909545898438,,,,,,,,,28,
PL10,51.621244,-115.608378,231.221099853516,,,,,,,,,28,
PL10,51.621244,-115.608378,233.311553955078,,,,,,,,,28,
PL10,51.621244,-115.608378,235.025131225586,,,,,,,,,28,
PL10,51.621244,-115.608378,237.427139282227,,,,,,,,,28,
PL10,51.621244,-115.608378,239.829147338867,,,,,,,,,28,
PL10,51.621244,-115.608378,243.462310791016,,,,,,,,,28,
PL10,51.621244,-115.608378,248.266326904297,,,,,,,,,28,
PL10,51.621244,-115.608378,253.070358276367,,,,,,,,,28,
PL10,51.621244,-115.608378,257.874359130859,,,,,,,,,28,
PL10,51.621244,-115.608378,260.839202880859,,,,,,,,,28,
PL10,51.621244,-115.608378,262.0,,,,,,,,,28,
PL10,51.621244,-115.608378,262.0,,,,,,,,,28,
PL10,51.621244,-115.608378,261.477386474609,,,,,,,,,28,
PL10,51.621244,-115.608378,259.552764892578,,,,,,,,,28,
PL10,51.621244,-115.608378,256.226135253906,,,,,,,,,28,
PL10,51.621244,-115.608378,253.874374389648,,,,,,,,,28,
PL10,51.621244,-115.608378,253.0,,,,,,,,,28,
PL10,51.621244,-115.608378,253.0,,,,,,,,,28,
PL10,51.621244,-115.608378,255.185928344727,,,,,,,,,28,
PCH1,51.621244,-115.608378,261.577880859375,,,,,,,,,1,
PCH1,51.621244,-115.608378,271.175872802734,,,,,,,,,1,
PCH1,51.621244,-115.608378,281.321594238281,,,,,,,,,1,
PCH1,51.621244,-115.608378,288.130645751953,,,,,,,,,1,
PCH1,51.621244,-115.608378,291.467346191406,,,,,,,,,1,
PCH1,51.621244,-115.608378,292.934661865234,,,,,,,,,1,
PCH1,51.621244,-115.608378,292.728637695313,,,,,,,,,1,
PCH1,51.621244,-115.608378,289.989959716797,,,,,,,,,1,
PCH1,51.621244,-115.608378,285.849243164063,,,,,,,,,1,
PCH1,51.621244,-115.608378,281.045227050781,,,,,,,,,1,
